"path","kind","component","proposed_dest","reason","path_style","ambiguous","reads","writes","includes_images","functions_defined","git_status","size_bytes","moved_phase2"
"Exploring CV/dimhi_05_r200.rds","result","cv","results/cv/basic_dgp/dimhi_05_r200.rds","family dimhi: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",75068,TRUE
"Exploring CV/dimhi_06_r200.rds","result","cv","results/cv/basic_dgp/dimhi_06_r200.rds","family dimhi: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",63101,TRUE
"Exploring CV/dimhi_07_r200.rds","result","cv","results/cv/basic_dgp/dimhi_07_r200.rds","family dimhi: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",120328,TRUE
"Exploring CV/dimhi_08_r200.rds","result","cv","results/cv/basic_dgp/dimhi_08_r200.rds","family dimhi: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",121352,TRUE
"Exploring CV/dimhi_09_r200.rds","result","cv","results/cv/basic_dgp/dimhi_09_r200.rds","family dimhi: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",102182,TRUE
"Exploring CV/dimhi_10_r200.rds","result","cv","results/cv/basic_dgp/dimhi_10_r200.rds","family dimhi: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",104226,TRUE
"Exploring CV/dimhi_11_r200.rds","result","cv","results/cv/basic_dgp/dimhi_11_r200.rds","family dimhi: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",68937,TRUE
"Exploring CV/dimhi_12_r200.rds","result","cv","results/cv/basic_dgp/dimhi_12_r200.rds","family dimhi: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",60817,TRUE
"Exploring CV/dimhi_by_alpha_r200.png","output","cv","output/cv/basic_dgp/figures/dimhi_by_alpha_r200.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",271777,TRUE
"Exploring CV/dimsnr_01_r200.rds","result","cv","results/cv/basic_dgp/dimsnr_01_r200.rds","family dimsnr: used by prep_cv_summary.R/plot_grids.R but no producer run script exists in the repo (only the inline block in balnet_mini_experiment*.R, if any)","none",FALSE,"","","","","tracked, clean",479776,TRUE
"Exploring CV/dimsnr_02_r200.rds","result","cv","results/cv/basic_dgp/dimsnr_02_r200.rds","family dimsnr: used by prep_cv_summary.R/plot_grids.R but no producer run script exists in the repo (only the inline block in balnet_mini_experiment*.R, if any)","none",FALSE,"","","","","tracked, clean",455153,TRUE
"Exploring CV/dimsnr_03_r200.rds","result","cv","results/cv/basic_dgp/dimsnr_03_r200.rds","family dimsnr: used by prep_cv_summary.R/plot_grids.R but no producer run script exists in the repo (only the inline block in balnet_mini_experiment*.R, if any)","none",FALSE,"","","","","tracked, clean",222174,TRUE
"Exploring CV/dimsnr_04_r200.rds","result","cv","results/cv/basic_dgp/dimsnr_04_r200.rds","family dimsnr: used by prep_cv_summary.R/plot_grids.R but no producer run script exists in the repo (only the inline block in balnet_mini_experiment*.R, if any)","none",FALSE,"","","","","tracked, clean",184082,TRUE
"Exploring CV/dimsnr_05_r200.rds","result","cv","results/cv/basic_dgp/dimsnr_05_r200.rds","family dimsnr: used by prep_cv_summary.R/plot_grids.R but no producer run script exists in the repo (only the inline block in balnet_mini_experiment*.R, if any)","none",FALSE,"","","","","tracked, clean",401911,TRUE
"Exploring CV/dimsnr_06_r200.rds","result","cv","results/cv/basic_dgp/dimsnr_06_r200.rds","family dimsnr: used by prep_cv_summary.R/plot_grids.R but no producer run script exists in the repo (only the inline block in balnet_mini_experiment*.R, if any)","none",FALSE,"","","","","tracked, clean",386344,TRUE
"Exploring CV/dimsnr_07_r200.rds","result","cv","results/cv/basic_dgp/dimsnr_07_r200.rds","family dimsnr: used by prep_cv_summary.R/plot_grids.R but no producer run script exists in the repo (only the inline block in balnet_mini_experiment*.R, if any)","none",FALSE,"","","","","tracked, clean",206686,TRUE
"Exploring CV/dimsnr_08_r200.rds","result","cv","results/cv/basic_dgp/dimsnr_08_r200.rds","family dimsnr: used by prep_cv_summary.R/plot_grids.R but no producer run script exists in the repo (only the inline block in balnet_mini_experiment*.R, if any)","none",FALSE,"","","","","tracked, clean",169106,TRUE
"Exploring CV/dimsnr_r200.png","output","cv","output/cv/basic_dgp/figures/dimsnr_r200.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",566187,TRUE
"Exploring CV/factors_paths.csv","output","cv","archive/exploring_cv/factors_paths.csv","untracked csv with no producer or reader in the repo (factors_paths.csv is 1.6 MB, 2026-09-11). Ask: keep?","none",TRUE,"","","","","untracked",1635395,TRUE
"Exploring CV/fig_alpha_bad.png","output","cv","output/cv/basic_dgp/figures/fig_alpha_bad.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",43271,TRUE
"Exploring CV/fig_alpha_sweep.png","output","cv","output/cv/basic_dgp/figures/fig_alpha_sweep.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","untracked",53453,TRUE
"Exploring CV/fig_axes_noise_overlap.png","output","cv","output/cv/basic_dgp/figures/fig_axes_noise_overlap.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","untracked",86670,TRUE
"Exploring CV/fig_density_fixed_dense.png","output","cv","output/cv/basic_dgp/figures/fig_density_fixed_dense.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",23124,TRUE
"Exploring CV/fig_density_fixed_sigma1.png","output","cv","output/cv/basic_dgp/figures/fig_density_fixed_sigma1.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",23457,TRUE
"Exploring CV/fig_density_fixed_sigma5.png","output","cv","output/cv/basic_dgp/figures/fig_density_fixed_sigma5.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",24957,TRUE
"Exploring CV/fig_density_fixed_sparse.png","output","cv","output/cv/basic_dgp/figures/fig_density_fixed_sparse.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",23038,TRUE
"Exploring CV/fig_density_sy_sigma1.png","output","cv","output/cv/basic_dgp/figures/fig_density_sy_sigma1.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",24026,TRUE
"Exploring CV/fig_density_sy_sigma5.png","output","cv","output/cv/basic_dgp/figures/fig_density_sy_sigma5.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",26606,TRUE
"Exploring CV/fig_density_sy100.png","output","cv","output/cv/basic_dgp/figures/fig_density_sy100.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",26283,TRUE
"Exploring CV/fig_density_sy5.png","output","cv","output/cv/basic_dgp/figures/fig_density_sy5.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",23596,TRUE
"Exploring CV/fig_enet_floor.png","output","cv","output/cv/basic_dgp/figures/fig_enet_floor.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","untracked",33342,TRUE
"Exploring CV/fig_enet_grid.png","output","cv","output/cv/basic_dgp/figures/fig_enet_grid.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","untracked",32578,TRUE
"Exploring CV/fig_n_enet_awful.png","output","cv","output/cv/basic_dgp/figures/fig_n_enet_awful.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",33434,TRUE
"Exploring CV/fig_n_enet_bad.png","output","cv","output/cv/basic_dgp/figures/fig_n_enet_bad.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",33535,TRUE
"Exploring CV/fig_n_lasso_s1_strong.png","output","cv","output/cv/basic_dgp/figures/fig_n_lasso_s1_strong.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",20841,TRUE
"Exploring CV/fig_n_lasso_s1_weak.png","output","cv","output/cv/basic_dgp/figures/fig_n_lasso_s1_weak.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",21685,TRUE
"Exploring CV/fig_n_lasso_s10_strong.png","output","cv","output/cv/basic_dgp/figures/fig_n_lasso_s10_strong.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",23193,TRUE
"Exploring CV/fig_n_lasso_s10_weak.png","output","cv","output/cv/basic_dgp/figures/fig_n_lasso_s10_weak.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",24320,TRUE
"Exploring CV/fig_n_lasso_s3_strong.png","output","cv","output/cv/basic_dgp/figures/fig_n_lasso_s3_strong.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",22289,TRUE
"Exploring CV/fig_n_lasso_s3_weak.png","output","cv","output/cv/basic_dgp/figures/fig_n_lasso_s3_weak.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",21883,TRUE
"Exploring CV/fig_p_high_1000.png","output","cv","output/cv/basic_dgp/figures/fig_p_high_1000.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",16836,TRUE
"Exploring CV/fig_p_high_2000.png","output","cv","output/cv/basic_dgp/figures/fig_p_high_2000.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",16939,TRUE
"Exploring CV/fig_p_low.png","output","cv","output/cv/basic_dgp/figures/fig_p_low.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",16988,TRUE
"Exploring CV/fig_p_snr_bad_1000.png","output","cv","output/cv/basic_dgp/figures/fig_p_snr_bad_1000.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",24931,TRUE
"Exploring CV/fig_p_snr_bad_500.png","output","cv","output/cv/basic_dgp/figures/fig_p_snr_bad_500.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",25371,TRUE
"Exploring CV/fig_p_snr_moderate_1000.png","output","cv","output/cv/basic_dgp/figures/fig_p_snr_moderate_1000.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",24949,TRUE
"Exploring CV/fig_p_snr_moderate_500.png","output","cv","output/cv/basic_dgp/figures/fig_p_snr_moderate_500.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",25201,TRUE
"Exploring CV/fig_picks_grid.png","output","cv","output/cv/basic_dgp/figures/fig_picks_grid.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","untracked",12495,TRUE
"Exploring CV/fig_picks_vs_opt.png","output","cv","output/cv/basic_dgp/figures/fig_picks_vs_opt.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","untracked",10702,TRUE
"Exploring CV/fig_ridge_default.png","output","cv","output/cv/basic_dgp/figures/fig_ridge_default.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",31245,TRUE
"Exploring CV/fig_ridge_floor.png","output","cv","output/cv/basic_dgp/figures/fig_ridge_floor.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",31498,TRUE
"Exploring CV/fig_snr_enet_strong.png","output","cv","output/cv/basic_dgp/figures/fig_snr_enet_strong.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",22230,TRUE
"Exploring CV/fig_snr_enet_strong_mid.png","output","cv","output/cv/basic_dgp/figures/fig_snr_enet_strong_mid.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",16420,TRUE
"Exploring CV/fig_snr_enet_weak.png","output","cv","output/cv/basic_dgp/figures/fig_snr_enet_weak.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",22634,TRUE
"Exploring CV/fig_snr_enet_weak_mid.png","output","cv","output/cv/basic_dgp/figures/fig_snr_enet_weak_mid.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",16915,TRUE
"Exploring CV/fig_snr_good.png","output","cv","output/cv/basic_dgp/figures/fig_snr_good.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",53842,TRUE
"Exploring CV/fig_snr_lasso.png","output","cv","output/cv/basic_dgp/figures/fig_snr_lasso.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",77094,TRUE
"Exploring CV/fig_snr_lasso_strong.png","output","cv","output/cv/basic_dgp/figures/fig_snr_lasso_strong.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",21375,TRUE
"Exploring CV/fig_snr_lasso_strong_mid.png","output","cv","output/cv/basic_dgp/figures/fig_snr_lasso_strong_mid.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",15117,TRUE
"Exploring CV/fig_snr_lasso_weak.png","output","cv","output/cv/basic_dgp/figures/fig_snr_lasso_weak.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",21636,TRUE
"Exploring CV/fig_snr_lasso_weak_mid.png","output","cv","output/cv/basic_dgp/figures/fig_snr_lasso_weak_mid.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",15847,TRUE
"Exploring CV/fig_spread_a0.5.png","output","cv","output/cv/basic_dgp/figures/fig_spread_a0.5.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",39826,TRUE
"Exploring CV/fig_spread_a0.png","output","cv","output/cv/basic_dgp/figures/fig_spread_a0.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",39791,TRUE
"Exploring CV/fig_spread_a1.png","output","cv","output/cv/basic_dgp/figures/fig_spread_a1.png","written by plot_grids.R; included by cv_summary.qmd","none",FALSE,"","","","","tracked, modified",39775,TRUE
"Exploring CV/fixed confounding 500.png","output","cv","archive/exploring_cv/fixed_confounding_500.png","no script writes this name; manual export from an early session","none",TRUE,"","","","","tracked, clean",30891,TRUE
"Exploring CV/functions..R","analysis","cv","runs/cv/basic_dgp/make_cv_picks.R","despite the name, a scratch script: panel_rmse + rebuild of cv_picks.csv, cv_picks_noise.csv, cv_picks_overlap.csv; relies on a global dir. Ask: rename?","relative",TRUE,"tune4_01_r500.rds; list.files(dir, ""^(tune4|snr_good|snr_mb|ov_s1|ov_1…); readRDS(f)…)","cv_picks.csv; cv_picks_noise.csv; cv_picks_overlap.csv","","panel_rmse","untracked",2418,TRUE
"Exploring CV/images/clipboard-1646395313.png","output","cv","archive/exploring_cv/images/clipboard-1646395313.png","RStudio clipboard paste, not referenced by any qmd. Ask: discard?","none",TRUE,"","","","","untracked",77089,TRUE
"Exploring CV/images/clipboard-1924613462.png","output","cv","archive/exploring_cv/images/clipboard-1924613462.png","RStudio clipboard paste, not referenced by any qmd. Ask: discard?","none",TRUE,"","","","","tracked, clean",20138,TRUE
"Exploring CV/images/clipboard-2522717763.png","output","cv","archive/exploring_cv/images/clipboard-2522717763.png","RStudio clipboard paste, not referenced by any qmd. Ask: discard?","none",TRUE,"","","","","tracked, clean",28163,TRUE
"Exploring CV/images/clipboard-2535870865.png","output","cv","archive/exploring_cv/images/clipboard-2535870865.png","RStudio clipboard paste, not referenced by any qmd. Ask: discard?","none",TRUE,"","","","","untracked",96661,TRUE
"Exploring CV/images/clipboard-3187216249.png","output","cv","archive/exploring_cv/images/clipboard-3187216249.png","RStudio clipboard paste, not referenced by any qmd. Ask: discard?","none",TRUE,"","","","","untracked",83754,TRUE
"Exploring CV/images/clipboard-3950597989.png","output","cv","archive/exploring_cv/images/clipboard-3950597989.png","RStudio clipboard paste, not referenced by any qmd. Ask: discard?","none",TRUE,"","","","","untracked",86467,TRUE
"Exploring CV/ladder_enet_r500.png","output","cv","output/cv/basic_dgp/figures/ladder_enet_r500.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",14293,TRUE
"Exploring CV/n_by_overlap_enet_r200.png","output","cv","output/cv/basic_dgp/figures/n_by_overlap_enet_r200.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",66666,TRUE
"Exploring CV/n_by_overlap_enet_sigma1_r200.png","output","cv","output/cv/basic_dgp/figures/n_by_overlap_enet_sigma1_r200.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",22236,TRUE
"Exploring CV/n_by_overlap_enet_sigma10_r200.png","output","cv","output/cv/basic_dgp/figures/n_by_overlap_enet_sigma10_r200.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",23137,TRUE
"Exploring CV/n_by_overlap_enet_sigma3_r200.png","output","cv","output/cv/basic_dgp/figures/n_by_overlap_enet_sigma3_r200.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",22405,TRUE
"Exploring CV/n_by_overlap_lasso_sigma1_r500.png","output","cv","output/cv/basic_dgp/figures/n_by_overlap_lasso_sigma1_r500.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",279258,TRUE
"Exploring CV/n_by_overlap_lasso_sigma10_r500.png","output","cv","output/cv/basic_dgp/figures/n_by_overlap_lasso_sigma10_r500.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",299139,TRUE
"Exploring CV/n_by_overlap_lasso_sigma3_r500.png","output","cv","output/cv/basic_dgp/figures/n_by_overlap_lasso_sigma3_r500.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",284200,TRUE
"Exploring CV/n_enet_01_r200.rds","result","cv","results/cv/basic_dgp/n_enet_01_r200.rds","family n_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",438126,TRUE
"Exploring CV/n_enet_02_r200.rds","result","cv","results/cv/basic_dgp/n_enet_02_r200.rds","family n_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",425431,TRUE
"Exploring CV/n_enet_03_r200.rds","result","cv","results/cv/basic_dgp/n_enet_03_r200.rds","family n_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",486931,TRUE
"Exploring CV/n_enet_04_r200.rds","result","cv","results/cv/basic_dgp/n_enet_04_r200.rds","family n_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",484121,TRUE
"Exploring CV/n_enet_05_r200.rds","result","cv","results/cv/basic_dgp/n_enet_05_r200.rds","family n_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",490310,TRUE
"Exploring CV/n_enet_06_r200.rds","result","cv","results/cv/basic_dgp/n_enet_06_r200.rds","family n_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",489279,TRUE
"Exploring CV/ov_1k_01_r1000.rds","result","cv","results/cv/basic_dgp/ov_1k_01_r1000.rds","family ov_1k: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","untracked",278882,TRUE
"Exploring CV/ov_1k_02_r1000.rds","result","cv","results/cv/basic_dgp/ov_1k_02_r1000.rds","family ov_1k: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","untracked",247311,TRUE
"Exploring CV/ov_1k_03_r1000.rds","result","cv","results/cv/basic_dgp/ov_1k_03_r1000.rds","family ov_1k: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","untracked",216701,TRUE
"Exploring CV/ov_s1_01_r500.rds","result","cv","results/cv/basic_dgp/ov_s1_01_r500.rds","family ov_s1: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",381836,TRUE
"Exploring CV/ov_s1_02_r500.rds","result","cv","results/cv/basic_dgp/ov_s1_02_r500.rds","family ov_s1: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",222415,TRUE
"Exploring CV/ov_s1_03_r500.rds","result","cv","results/cv/basic_dgp/ov_s1_03_r500.rds","family ov_s1: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",172652,TRUE
"Exploring CV/ov_s1_04_r500.rds","result","cv","results/cv/basic_dgp/ov_s1_04_r500.rds","family ov_s1: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",132429,TRUE
"Exploring CV/ov_s1_05_r500.rds","result","cv","results/cv/basic_dgp/ov_s1_05_r500.rds","family ov_s1: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",135140,TRUE
"Exploring CV/ov_s1_06_r500.rds","result","cv","results/cv/basic_dgp/ov_s1_06_r500.rds","family ov_s1: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",130238,TRUE
"Exploring CV/ov_s1_m5_01_r500.rds","result","cv","results/cv/basic_dgp/ov_s1_m5_01_r500.rds","family ov_s1_m5: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","untracked",120810,TRUE
"Exploring CV/ov_s1_m5_02_r500.rds","result","cv","results/cv/basic_dgp/ov_s1_m5_02_r500.rds","family ov_s1_m5: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","untracked",107900,TRUE
"Exploring CV/penalty_paths.csv","output","cv","archive/exploring_cv/penalty_paths.csv","read by plot_grids.R (path_png section) but no script writes it","none",FALSE,"","","","","untracked",1397763,TRUE
"Exploring CV/penalty_picks.csv","output","cv","output/cv/basic_dgp/summaries/penalty_picks.csv","summary table written by prep_cv_summary.R / functions..R / plot_grids.R; read by cv_summary.qmd","none",FALSE,"","","","","untracked",21248,TRUE
"Exploring CV/plot_grids.R","analysis","cv","analysis/cv/basic_dgp/plot_grids.R","target names it; writes fig_*.png and penalty_picks.csv; superset of Extension_CV plot_rmse_grids_for_qmd.R; absolute dir","absolute",FALSE,"penalty_paths.csv; list.files(dir, sprintf(""^%s_?\\d+_r%d\\.rds$"", fam…); readRDS(f)…); list.files(dir, ""^fig_"", full.names = TRUE)…); list.files(dir, ""^(tune4|snr_good|snr_mb)_\\d+_r\\d…); list.files(dir, sprintf(""^%s_?\\d+_r\\d+\\.rds$"", f…); list.files(dir, pat, full.names = TRUE)…)","fig_snr_lasso.png; fig_axes_noise_overlap.png; penalty_picks.csv; png(file.path(dir, out), width = 480 * nc, h…); dev.off()…)","","panel_rmse; grid_png; axis_panels; penalty_picks_csv; path_png","tracked, modified",16186,TRUE
"Exploring CV/prep_cv_summary.R","analysis","cv","analysis/cv/basic_dgp/prep_cv_summary.R","builds cv_summary/cv_family_counts/cv_vs_lasso_floor/cv_rmse_*.csv from *_r<n>.rds; superset of Extension_CV summarise_runs_to_csv.R; summarise_sim-like logic that could feed R/summarise.R; absolute dir","absolute",FALSE,"list.files(dir, ""_r\\d+\\.rds$"")…); readRDS(f)…); list.files(dir, ""_r\\d+\\.rds$"", full.names = TRUE)…)","cv_summary.csv; cv_family_counts.csv; cv_vs_lasso_floor.csv; cv_rmse_noise.csv; cv_rmse_overlap.csv","","summarise_file; vs_floor; make_rmse_table","tracked, modified",9094,TRUE
"Exploring CV/second_draw_tune4.rds","result","cv","archive/exploring_cv/second_draw_tune4.rds","small rds (2026-09-08) on the tune4 cell, no producer script or reader in the repo; likely from an unsaved notebook. Ask: keep or archive?","none",TRUE,"","","","","tracked, clean",1374,TRUE
"Exploring CV/snr_by_overlap_enet_r500.png","output","cv","output/cv/basic_dgp/figures/snr_by_overlap_enet_r500.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",59261,TRUE
"Exploring CV/SNR_by_overlap_lasso_r500.png","output","cv","output/cv/basic_dgp/figures/SNR_by_overlap_lasso_r500.png","written by the family's run block (png() in balnet_mini_experiment*.R / Extension_CV run script); included by cv_summary.Rmd","none",FALSE,"","","","","tracked, clean",54782,TRUE
"Exploring CV/snr_enet_01_r500.rds","result","cv","results/cv/basic_dgp/snr_enet_01_r500.rds","family snr_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",417386,TRUE
"Exploring CV/snr_enet_02_r500.rds","result","cv","results/cv/basic_dgp/snr_enet_02_r500.rds","family snr_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",424205,TRUE
"Exploring CV/snr_enet_03_r500.rds","result","cv","results/cv/basic_dgp/snr_enet_03_r500.rds","family snr_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",422090,TRUE
"Exploring CV/snr_enet_04_r500.rds","result","cv","results/cv/basic_dgp/snr_enet_04_r500.rds","family snr_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",421709,TRUE
"Exploring CV/snr_enet_05_r500.rds","result","cv","results/cv/basic_dgp/snr_enet_05_r500.rds","family snr_enet: per-cell batch written by the matching Extension_CV run script / balnet_mini_experiment block; read by prep_cv_summary.R and plot_grids.R","none",FALSE,"","","","","tracked, clean",424716,TRUE
